
AIRLINE_ID,Description,Sum(PASSENGERS)
"20408","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo: 5V",8005
"20409","JetBlue Airways: B6",30239767
"20416","Spirit Air Lines: NK",30770259
"20422","Sun Country Airlines d/b/a MN Airlines: SY",3057461
"20424","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines: YR",45306
"20426","Vieques Air Link Inc.: VI",67207
"20427","Piedmont Airlines: PT",3800727
"20428","Volga-Dnepr Airlines: VIQ",0
"20436","Frontier Airlines Inc.: F9",20654583
"20443","Island Air Service: 2O",20874
"20445","Commutair Aka Champlain Enterprises, Inc.: C5",2911180
"20446","Aerotransportes Mas De Crga: M7",0
"20447","USA Jet Airlines Inc.: U7",0
"20452","Republic Airline: YX",17701767
"20453","ABX Air Inc: ABX",0
"20455","Grant Aviation: GV",137112
"20500","GoJet Airlines LLC d/b/a United Express: G7",2395855
"21022","PM Air, LLC: Z3Q",35992
"21040","Titan Airways: 02Q",510
"21061","Aerounion Aerotransporte de Carga Union SA de CV: 6R",0
"21080","Tradewind Aviation: 04Q",43339
"21107","Etihad Airways: EY",225693
"21136","Flair Airlines Ltd.: 07Q",15527
"21147","Flying Service N.V.: 0Q",111
"21158","Global Jet Austria, GmbH: IGA",18
"21160","Global Jet Luxembourg, Sa: SVW",276
"21161","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern: 09Q",880591
"21186","DCA: 0BQ",133
"21196","ACM AIR CHARTER GmbH: 0CQ",95
"21202","CAT Aviation: CAZ",162
"21226","Porter Airlines, Inc.: PD",107032
"21231","Sunwing Airlines Inc.: WG",540
"21253","Multi-Aero, Inc. d/b/a Air Choice One: 3E",17943
"21262","Qatar Airways (Q.C.S.C): QR",1657223
"21308","TAG Aviation (UK) Ltd.: 0QQ",10
"21331","Comlux Malta, Ltd.: 0UQ",67
"21342","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus: VB",1708659
"21351","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris): Y4",3775362
"21376","Lan Colombia: L7",0
"21386","Air Excursions LLC: X4",8852
"21402","Prescott Support Company, Inc.: PM",0
"21406","Acropolis Aviation Ltd.: CRV",92
"21407","Swiss Air Ambulance: 10Q",38
